ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3667	"ENSG00000138777.15"	"PPA2"	chr4	-	106345352	106345479	106359106	106359193	106326793	106327105	106367539	106367659	3667	55,33	7,2	23,27	2,10	186	199	0.128352473741	0.590297129904	0.894,0.946	0.925,0.743	0.086
3893	"ENSG00000125871.9"	"MGME1"	chr20	+	17956326	17956546	17968808	17968941	17950443	17950773	17970581	17971765	3893	7,7	148,184	3,0	125,102	199	199	0.12853009945	0.590297129904	0.045,0.037	0.023,0.0	0.029
5055	"ENSG00000135723.9"	"FHOD1"	chr16	-	67265090	67265158	67265198	67265252	67264503	67264694	67265332	67265452	5055	7,9	5,2	4,2	5,4	153	167	0.12796522715	0.590297129904	0.604,0.831	0.466,0.353	0.308
907	"ENSG00000160783.15"	"PMF1"	chr1	+	156202110	156202216	156203418	156203519	156195347	156195459	156206078	156206274	907	2,5	275,210	0,0	276,234	199	199	0.128516066496	0.590297129904	0.007,0.023	0.0,0.0	0.015
389	"ENSG00000054219.9"	"LY75"	chr2	-	160634448	160634475	160636515	160636689	160628361	160628564	160637392	160637509	389	99,86	92,96	65,100	71,157	199	126	0.128936233593	0.591147070978	0.405,0.362	0.367,0.287	0.057
3824	"ENSG00000057935.9"	"MTA3"	chr2	+	42836597	42836724	42867312	42867376	42806246	42806340	42871266	42871384	3824	496,351	121,137	418,452	95,114	199	163	0.129389007778	0.592570340352	0.771,0.677	0.783,0.765	-0.05
1116	"ENSG00000092841.14"	"MYL6"	chr12	+	56553378	56553406	56553406	56553514	56552467	56552495	56553758	56553932	1116	5,6	959,459	4,6	526,164	127	199	0.130096121424	0.593734390897	0.008,0.02	0.012,0.054	-0.019
1548	"ENSG00000125633.6"	"CCDC93"	chr2	-	118715940	118716057	118731483	118731570	118709948	118710011	118732425	118732476	1548	37,38	80,109	22,20	54,120	186	199	0.129935538337	0.593734390897	0.331,0.272	0.304,0.151	0.074
2086	"ENSG00000205581.6"	"HMGN1"	chr21	-	40717755	40717884	40719172	40719218	40717071	40717200	40719304	40719409	2086	8,3	107,109	2,0	49,108	145	199	0.130213667761	0.593734390897	0.093,0.036	0.053,0.0	0.038
2861	"ENSG00000157827.15"	"FMNL2"	chr2	+	153435401	153435478	153437469	153437563	153431649	153431758	153463852	153463927	2861	288,363	134,108	260,415	106,74	176	193	0.129877172869	0.593734390897	0.702,0.787	0.729,0.86	-0.05
2891	"ENSG00000136699.15"	"SMPD4"	chr2	-	130925030	130925163	130932486	130932573	130921946	130922018	130934126	130934210	2891	79,40	79,102	40,18	76,80	186	199	0.130529391311	0.594522818411	0.517,0.296	0.36,0.194	0.129
2989	"ENSG00000128656.9"	"CHN1"	chr2	-	175711607	175711685	175742567	175742856	175689161	175689246	175779785	175779899	2989	20,9	6,4	10,2	8,2	199	177	0.130765977409	0.594949468802	0.748,0.667	0.526,0.471	0.209
5326	"ENSG00000102897.5"	"LYRM1"	chr16	+	20914011	20914039	20922504	20922618	20911771	20911857	20926877	20927036	5326	6,9	0,2	0,14	4,7	127	199	0.130940040485	0.595091035523	1.0,0.876	0.0,0.758	0.559
3938	"ENSG00000072736.14"	"NFATC3"	chr16	+	68215377	68215433	68217142	68217269	68208276	68208417	68224670	68225678	3938	381,294	51,51	352,295	37,36	155	199	0.131130923062	0.595308650717	0.906,0.881	0.924,0.913	-0.025
4684	"ENSG00000134058.6"	"CDK7"	chr5	+	68553869	68553980	68555644	68555763	68551286	68551355	68558031	68558131	4684	56,27	171,141	40,41	132,91	199	199	0.131463294987	0.59616742596	0.247,0.161	0.233,0.311	-0.068
1744	"ENSG00000198780.7"	"FAM169A"	chr5	-	74109664	74109844	74130250	74130422	74100980	74101109	74134789	74134875	1744	38,24	32,21	18,28	42,27	199	199	0.13251792517	0.600296107163	0.543,0.533	0.3,0.509	0.134
2463	"ENSG00000124831.14"	"LRRFIP1"	chr2	+	238666098	238666191	238667371	238667464	238664737	238664830	238668706	238668848	2463	0,3	4,1	1,3	9,0	192	192	0.133433611796	0.60341983874	0.0,0.75	0.1,1.0	-0.175
3377	"ENSG00000078674.13"	"PCM1"	chr8	+	17797199	17797370	17797550	17797667	17796248	17796518	17804694	17804872	3377	195,221	92,160	175,304	72,148	199	199	0.133497398866	0.60341983874	0.679,0.58	0.709,0.673	-0.062
4819	"ENSG00000157625.11"	"TAB3"	chrX	-	30861082	30861166	30864667	30864761	30845559	30849692	30870894	30871055	4819	147,89	9,3	107,107	8,12	193	183	0.133661296203	0.603505397064	0.939,0.966	0.927,0.894	0.042
1789	"ENSG00000115652.10"	"UXS1"	chr2	-	106746129	106746234	106761645	106761826	106742075	106742135	106774513	106774574	1789	1040,972	117,79	521,1391	102,26	199	199	0.13423252909	0.605427972483	0.899,0.925	0.836,0.982	0.003
2605	"ENSG00000176142.8"	"TMEM39A"	chr3	-	119171293	119171377	119176864	119177031	119165865	119166019	119180808	119180995	2605	2,2	24,29	0,0	43,22	199	183	0.134825821573	0.606250088205	0.071,0.06	0.0,0.0	0.066
2914	"ENSG00000170100.9"	"ZNF778"	chr16	+	89289564	89289691	89291126	89291210	89288499	89288591	89291962	89292039	2914	5,8	22,18	6,3	41,19	199	183	0.135119389916	0.606250088205	0.173,0.29	0.119,0.127	0.108
3899	"ENSG00000165115.10"	"KIF27"	chr9	-	86474070	86474286	86485433	86485547	86468543	86468750	86495211	86495409	3899	10,18	3,2	5,10	4,4	199	199	0.135088373975	0.606250088205	0.769,0.9	0.556,0.714	0.2
675	"ENSG00000197343.6"	"ZNF655"	chr7	+	99159510	99159596	99168882	99169002	99158155	99158318	99169310	99169415	675	31,14	0,4	6,1	2,0	185	199	0.135098903762	0.606250088205	1.0,0.79	0.763,1.0	0.014
820	"ENSG00000149761.4"	"NUDT22"	chr11	+	63995039	63995138	63996718	63996830	63994106	63994604	63996949	63997043	820	22,1	8,2	3,0	7,2	198	199	0.135142945437	0.606250088205	0.734,0.334	0.301,0.0	0.384
3983	"ENSG00000115718.13"	"PROC"	chr2	+	128177497	128177588	128178893	128179097	128176002	128176068	128180492	128180517	3983	17,19	1,1	12,2	0,6	190	199	0.135565430352	0.607490728262	0.947,0.952	1.0,0.259	0.32
2991	"ENSG00000254912.2"	"RP11-632K20.2"	chr15	-	32789689	32789791	32790695	32790900	32787129	32787271	32791361	32791516	2991	2,0	0,3	0,0	1,6	199	199	0.136307018966	0.610157118232	1.0,0.0	0.0,0.0	0.5
4468	"ENSG00000089123.11"	"TASP1"	chr20	-	13550153	13550233	13567896	13568017	13539654	13539761	13604092	13604161	4468	15,11	51,72	17,4	69,104	199	179	0.13649805911	0.610355982895	0.209,0.121	0.181,0.033	0.058
2260	"ENSG00000239672.3"	"NME1"	chr17	+	49233011	49233141	49237340	49237442	49230896	49231023	49238520	49238633	2260	473,155	1789,512	235,96	854,186	199	199	0.136683294312	0.610528491653	0.209,0.232	0.216,0.34	-0.058
2699	"ENSG00000134318.9"	"ROCK2"	chr2	-	11324791	11324895	11326901	11327049	11319886	11323566	11332273	11332487	2699	8,0	4,4	8,5	2,0	199	199	0.136935347762	0.610998770346	0.667,0.0	0.8,1.0	-0.567
2698	"ENSG00000171469.6"	"ZNF561"	chr19	-	9727720	9727847	9728766	9728855	9724696	9724779	9730107	9730258	2698	32,15	87,120	9,12	71,90	188	199	0.137910613448	0.612723461883	0.28,0.117	0.118,0.124	0.078
394	"ENSG00000143643.8"	"TTC13"	chr1	-	231071903	231072010	231075131	231075242	231069524	231069607	231076185	231076302	394	35,40	13,2	28,47	3,2	199	199	0.137714046343	0.612723461883	0.729,0.952	0.903,0.959	-0.091
4974	"ENSG00000068305.13"	"MEF2A"	chr15	+	100185765	100185969	100197617	100197743	100173182	100173378	100211527	100211659	4974	65,64	6,1	44,46	0,0	199	199	0.137594081015	0.612723461883	0.915,0.985	1.0,1.0	-0.05
5541	"ENSG00000108384.10"	"RAD51C"	chr17	+	56801400	56801461	56809844	56809905	56798106	56798173	56811478	56811692	5541	26,21	81,55	13,30	79,104	160	160	0.137829025835	0.612723461883	0.243,0.276	0.141,0.224	0.077
2654	"ENSG00000101413.7"	"RPRD1B"	chr20	+	36698626	36698792	36716264	36716413	36694482	36694658	36718127	36719639	2654	2,0	1,4	3,1	0,0	199	199	0.138244027505	0.613549985611	0.667,0.0	1.0,1.0	-0.666
3632	"ENSG00000126456.11"	"IRF3"	chr19	-	50163969	50164085	50165204	50165585	50162828	50163090	50165681	50165874	3632	56,16	243,83	17,0	119,14	199	199	0.138620295687	0.613807150502	0.187,0.162	0.125,0.0	0.112
5036	"ENSG00000069275.12"	"NUCKS1"	chr1	-	205696827	205696933	205698699	205698749	205693053	205693109	205719084	205719404	5036	117,77	1196,641	76,67	976,715	149	199	0.138744301855	0.613807150502	0.116,0.138	0.094,0.111	0.024
565	"ENSG00000122958.10"	"VPS26A"	chr10	+	70916762	70916919	70917802	70917967	70892653	70892803	70922161	70922268	565	5,13	33,33	5,4	19,59	199	199	0.138650163208	0.613807150502	0.132,0.283	0.208,0.063	0.072
3544	"ENSG00000229425.1"	"AJ006998.2"	chr21	-	16766289	16766368	16766791	16766825	16762896	16762937	16767318	16767448	3544	0,2	4,0	2,2	0,0	133	178	0.139247407313	0.614726359113	0.0,1.0	1.0,1.0	-0.5
941	"ENSG00000198431.11"	"TXNRD1"	chr12	+	104682708	104682818	104705067	104705190	104680726	104681124	104707022	104707095	941	11,7	37,26	22,12	49,20	199	199	0.139232009754	0.614726359113	0.229,0.212	0.31,0.375	-0.122
2716	"ENSG00000198176.8"	"TFDP1"	chr13	+	114277494	114277601	114285937	114286220	114265310	114265377	114287434	114287600	2716	50,65	2,5	59,24	0,0	199	199	0.140193119447	0.618245716375	0.962,0.929	1.0,1.0	-0.054
3111	"ENSG00000160201.7"	"U2AF1"	chr21	-	44520562	44520629	44524424	44524512	44515803	44515853	44527560	44527688	3111	170,175	1710,734	160,172	1076,695	187	166	0.140475239841	0.618834310538	0.081,0.175	0.117,0.18	-0.02
88	"ENSG00000204120.10"	"GIGYF2"	chr2	+	233589283	233589401	233599126	233599196	233568133	233568199	233599864	233599948	88	8,8	2,5	8,6	7,10	199	169	0.140745196809	0.619368133526	0.773,0.576	0.493,0.338	0.259
1308	"ENSG00000188157.9"	"AGRN"	chr1	+	981343	981468	981539	981645	981112	981256	981776	982115	1308	297,42	527,507	67,5	284,182	199	199	0.141007439369	0.619800433363	0.36,0.077	0.191,0.027	0.11
1806	"ENSG00000187514.10"	"PTMA"	chr2	+	232576057	232576129	232576599	232576693	232573239	232573461	232577152	232577385	1806	9249,4866	14589,5375	5981,6129	7845,5011	171	193	0.141274349125	0.619800433363	0.417,0.505	0.463,0.58	-0.06
3504	"ENSG00000117682.12"	"DHDDS"	chr1	+	26772806	26772923	26774049	26774151	26769221	26769364	26784281	26784396	3504	182,70	15,3	98,78	15,6	199	199	0.141290081975	0.619800433363	0.924,0.959	0.867,0.929	0.043
3463	"ENSG00000167881.10"	"SRP68"	chr17	-	74036983	74037059	74039909	74040039	74036499	74036555	74041372	74041467	3463	83,62	160,165	88,67	102,148	199	175	0.141939853648	0.621995379723	0.313,0.248	0.431,0.285	-0.078
4040	"ENSG00000011405.9"	"PIK3C2A"	chr11	-	17115807	17115932	17118603	17118811	17113705	17113823	17121406	17121516	4040	26,44	42,40	26,19	33,65	199	199	0.142361504472	0.623187111585	0.382,0.524	0.441,0.226	0.119
154	"ENSG00000131374.10"	"TBC1D5"	chr3	-	17469941	17470011	17549965	17550097	17447909	17448018	17665340	17665405	154	32,19	75,94	40,24	66,71	199	169	0.143426579476	0.623261847973	0.266,0.147	0.34,0.223	-0.075
1612	"ENSG00000177479.15"	"ARIH2"	chr3	+	48962150	48962272	48964894	48965246	48960180	48960244	48999044	48999112	1612	12,13	43,52	6,5	28,53	199	199	0.14285281438	0.623261847973	0.218,0.2	0.176,0.086	0.078
264	"ENSG00000213983.7"	"AP1G2"	chr14	-	24035024	24035238	24035272	24035369	24034814	24034910	24035486	24035628	264	180,187	229,306	117,103	218,179	196	199	0.143057332779	0.623261847973	0.444,0.383	0.353,0.369	0.052
4441	"ENSG00000129515.14"	"SNX6"	chr14	-	35077235	35077346	35078843	35078948	35074801	35074923	35099112	35099160	4441	75,63	543,620	37,69	405,742	199	199	0.143312894779	0.623261847973	0.121,0.092	0.084,0.085	0.022
4757	"ENSG00000272325.1"	"NUDT3"	chr6	-	34263417	34263462	34309638	34309749	34247455	34256708	34360040	34360451	4757	168,177	8,8	190,160	7,1	199	144	0.142935801492	0.623261847973	0.938,0.941	0.952,0.991	-0.032
750	"ENSG00000105778.13"	"AVL9"	chr7	+	32582783	32582873	32588458	32588530	32535137	32535414	32590945	32591035	750	2,4	74,36	0,0	34,53	189	171	0.143312390666	0.623261847973	0.024,0.091	0.0,0.0	0.057
852	"ENSG00000115762.12"	"PLEKHB2"	chr2	+	131884256	131884359	131890474	131890564	131883325	131883478	131897742	131897848	852	53,42	12,3	43,39	5,0	199	189	0.142756904451	0.623261847973	0.807,0.93	0.891,1.0	-0.077
5168	"ENSG00000160862.8"	"AZGP1"	chr7	-	99565777	99566053	99569368	99569629	99564352	99564909	99573567	99573780	5168	164,212	776,457	106,94	327,144	199	199	0.143639253852	0.623456223675	0.174,0.317	0.245,0.395	-0.075
683	"ENSG00000196136.12"	"SERPINA3"	chr14	+	95085531	95085805	95088677	95088828	95080770	95081421	95089947	95090391	683	4072,5161	5959,4336	2325,2325	2611,1148	199	199	0.143770832267	0.623456223675	0.406,0.543	0.471,0.669	-0.096
2093	"ENSG00000115919.10"	"KYNU"	chr2	+	143642917	143643105	143676177	143676298	143638913	143638999	143685227	143685310	2093	6,1	180,147	2,0	140,201	199	199	0.144757196517	0.627080342456	0.032,0.007	0.014,0.0	0.013
3279	"ENSG00000088926.9"	"F11"	chr4	+	187207568	187207664	187207699	187207858	187206791	187206967	187208837	187208977	3279	774,734	6,20	664,955	5,12	195	199	0.145465816944	0.628728489734	0.992,0.974	0.993,0.988	-0.007
4795	"ENSG00000076242.10"	"MLH1"	chr3	+	37055922	37056035	37058996	37059090	37053572	37053590	37067127	37067498	4795	28,41	0,0	33,67	4,4	199	193	0.145590743239	0.628728489734	1.0,1.0	0.889,0.942	0.085
5504	"ENSG00000127022.10"	"CANX"	chr5	+	179150660	179150780	179151657	179151784	179149804	179150020	179153680	179153760	5504	1465,524	19739,10247	732,280	9890,7837	199	199	0.145513360185	0.628728489734	0.069,0.049	0.069,0.034	0.007
802	"ENSG00000084092.6"	"NOA1"	chr4	-	57832785	57832902	57834549	57834630	57830571	57830692	57839313	57839519	802	5,2	50,59	0,2	40,81	180	199	0.146171261571	0.630581307689	0.1,0.036	0.0,0.027	0.055
4377	"ENSG00000134283.13"	"PPHLN1"	chr12	+	42748962	42749024	42768664	42768876	42729684	42729776	42781257	42781337	4377	145,99	3,13	119,148	0,9	161	199	0.146532391077	0.631484828213	0.984,0.904	1.0,0.953	-0.032
4686	"ENSG00000197265.4"	"GTF2E2"	chr8	-	30472124	30472232	30492548	30492640	30469815	30469998	30510949	30511119	4686	341,288	65,215	301,512	36,188	191	199	0.146871956159	0.631908267093	0.845,0.583	0.897,0.739	-0.104
470	"ENSG00000134444.9"	"KIAA1468"	chr18	+	59947006	59947089	59947592	59947675	59942606	59942706	59947878	59947942	470	54,21	1,0	21,23	4,0	182	182	0.146934230734	0.631908267093	0.982,1.0	0.84,1.0	0.071
3646	"ENSG00000161010.10"	"C5orf45"	chr5	-	179278242	179278424	179280196	179280276	179274977	179275066	179280377	179280437	3646	54,16	9,4	22,30	1,2	179	199	0.147148343426	0.632176009992	0.87,0.816	0.961,0.943	-0.109
871	"ENSG00000214046.4"	"SMIM7"	chr19	-	16770205	16770258	16770769	16770811	16757906	16758072	16770895	16770955	871	11,3	28,16	16,4	15,11	141	152	0.147578821098	0.633371785805	0.298,0.168	0.535,0.282	-0.175
551	"ENSG00000120802.9"	"TMPO"	chr12	+	98938219	98938315	98938728	98938839	98931252	98931350	98940136	98940225	551	0,0	62,66	1,2	62,39	195	199	0.14799188461	0.634490438343	0.0,0.0	0.016,0.05	-0.033
1927	"ENSG00000162946.16"	"DISC1"	chr1	+	231837700	231837770	231858284	231858474	231829571	231830551	231885671	231885822	1927	39,36	0,0	16,27	0,2	169	199	0.148172554881	0.634611467047	1.0,1.0	1.0,0.941	0.03
865	"ENSG00000140995.12"	"DEF8"	chr16	+	90015824	90015921	90020696	90020784	90015162	90015222	90021576	90021674	865	22,17	77,16	21,13	38,0	196	187	0.148399034243	0.63492824209	0.214,0.503	0.345,1.0	-0.314
5186	"ENSG00000051180.12"	"RAD51"	chr15	+	40998374	40998492	41001222	41001314	40993261	40993399	41011002	41011097	5186	27,10	93,27	18,3	67,43	199	191	0.148552887134	0.634933951888	0.218,0.262	0.205,0.063	0.106
3832	"ENSG00000108423.10"	"TUBD1"	chr17	-	57941024	57941208	57943969	57944110	57937373	57937785	57955463	57955695	3832	0,5	30,19	5,7	26,17	199	199	0.148898362036	0.635757826827	0.0,0.208	0.161,0.292	-0.122
1208	"ENSG00000205670.6"	"SMIM11"	chr21	+	35757775	35757942	35772008	35772197	35751726	35751815	35774388	35775075	1208	201,125	13,16	167,53	15,14	199	199	0.149659233621	0.636935705247	0.939,0.887	0.918,0.791	0.058
1792	"ENSG00000183354.7"	"KIAA2026"	chr9	-	5944870	5944960	5954015	5954095	5933750	5933881	5968018	5968081	1792	5,13	2,9	1,6	4,8	179	189	0.149530371008	0.636935705247	0.725,0.604	0.209,0.442	0.339
2405	"ENSG00000143363.11"	"PRUNE"	chr1	+	150990287	150990380	150999708	150999803	150980957	150981147	151006281	151006589	2405	8,9	28,60	7,2	39,56	192	194	0.149519431922	0.636935705247	0.224,0.132	0.154,0.035	0.083
2835	"ENSG00000064787.8"	"BCAS1"	chr20	-	52573970	52574036	52591927	52591969	52569970	52570234	52601825	52602038	2835	6,5	9,8	2,0	2,27	141	165	0.149786225183	0.636935705247	0.438,0.422	0.539,0.0	0.16
2140	"ENSG00000141556.16"	"TBCD"	chr17	+	80858526	80858607	80861280	80861354	80851422	80851508	80863811	80863929	2140	23,18	34,15	17,18	18,2	180	173	0.150836012004	0.639656162994	0.394,0.536	0.476,0.896	-0.221
501	"ENSG00000125944.14"	"HNRNPR"	chr1	-	23650048	23650225	23660010	23660124	23648020	23648156	23664246	23664354	501	599,498	280,141	503,674	164,181	199	199	0.150886945006	0.639656162994	0.681,0.779	0.754,0.788	-0.041
82	"ENSG00000197961.7"	"ZNF121"	chr19	-	9678770	9678851	9679677	9679758	9676457	9677785	9695136	9695209	82	7,15	25,46	4,10	16,67	180	180	0.15059644831	0.639656162994	0.219,0.246	0.2,0.13	0.067
2077	"ENSG00000205581.6"	"HMGN1"	chr21	-	40719172	40719218	40719372	40719404	40717071	40717200	40720217	40720265	2077	3,1	6,2	2,5	2,0	131	145	0.151280964001	0.639856279802	0.356,0.356	0.525,1.0	-0.406
2926	"ENSG00000100867.10"	"DHRS2"	chr14	+	24108387	24108565	24110874	24110947	24105575	24105981	24112360	24112428	2926	37,33	0,9	36,40	2,0	199	172	0.151425914432	0.639856279802	1.0,0.76	0.94,1.0	-0.09
3729	"ENSG00000234741.3"	"GAS5"	chr1	-	173834994	173835032	173835314	173835344	173834647	173834685	173835665	173835705	3729	76,50	298,161	58,61	155,178	129	137	0.151702653895	0.639856279802	0.213,0.248	0.284,0.267	-0.045
5368	"ENSG00000004534.10"	"RBM6"	chr3	+	50085677	50085752	50091767	50091828	50000008	50000118	50095160	50095436	5368	25,19	301,403	14,15	299,386	174	160	0.151585765699	0.639856279802	0.071,0.042	0.041,0.035	0.018
5394	"ENSG00000079785.10"	"DDX1"	chr2	+	15761188	15761240	15763559	15763706	15760331	15760520	15767177	15767269	5394	315,287	359,250	269,420	266,278	151	199	0.151655092382	0.639856279802	0.536,0.602	0.571,0.666	-0.05
1104	"ENSG00000214021.11"	"TTLL3"	chr3	+	9859328	9862425	9867483	9867632	9857757	9857886	9868680	9868924	1104	7,5	86,52	3,0	64,44	199	199	0.152209896329	0.640194946276	0.075,0.088	0.045,0.0	0.059
1879	"ENSG00000128829.7"	"EIF2AK4"	chr15	+	40318177	40318290	40321606	40321665	40314719	40314806	40322559	40322657	1879	289,94	130,62	145,77	78,87	199	158	0.152244294214	0.640194946276	0.638,0.546	0.596,0.413	0.088
2572	"ENSG00000132613.10"	"MTSS1L"	chr16	-	70699368	70699443	70708208	70708431	70698822	70698999	70710783	70710881	2572	33,55	61,33	24,9	43,21	199	174	0.152137272832	0.640194946276	0.321,0.593	0.328,0.273	0.156
5302	"ENSG00000196141.8"	"SPATS2L"	chr2	+	201236831	201236974	201248589	201248740	201194153	201194203	201253945	201254006	5302	6,4	11,15	1,4	12,23	199	199	0.152495343322	0.640603546165	0.353,0.211	0.077,0.148	0.169
291	"ENSG00000087263.12"	"OGFOD1"	chr16	+	56488685	56488833	56492459	56492506	56487174	56487320	56496445	56496546	291	0,0	67,49	4,0	66,53	199	146	0.152885592382	0.640949366653	0.0,0.0	0.043,0.0	-0.021
696	"ENSG00000196739.10"	"COL27A1"	chr9	+	117029783	117029837	117031520	117031574	117028844	117028898	117033007	117033061	696	220,74	342,98	90,6	73,10	153	153	0.152847427922	0.640949366653	0.391,0.43	0.552,0.375	-0.053
5082	"ENSG00000101596.10"	"SMCHD1"	chr18	+	2799278	2799381	2800520	2800738	2796404	2796519	2802525	2802926	5082	0,3	11,10	7,3	4,12	199	199	0.153561211386	0.643134127767	0.0,0.231	0.636,0.2	-0.303
5248	"ENSG00000140807.4"	"NKD1"	chr16	+	50649959	50650151	50651663	50651716	50642204	50642271	50655512	50655619	5248	128,57	221,63	51,59	85,13	199	152	0.153883994204	0.643838259167	0.307,0.409	0.314,0.776	-0.187
120	"ENSG00000265590.5"	"AP000275.65"	chr21	-	33979958	33980026	33982147	33982315	33976434	33976593	33984414	33984456	120	244,187	222,120	192,199	114,126	199	167	0.154189974	0.644175314794	0.48,0.567	0.586,0.57	-0.054
1794	"ENSG00000183354.7"	"KIAA2026"	chr9	-	5933750	5933881	5944870	5944960	5929043	5929159	5954015	5954095	1794	35,32	4,4	15,33	0,0	189	199	0.154310346898	0.644175314794	0.902,0.894	1.0,1.0	-0.102
2924	"ENSG00000100867.10"	"DHRS2"	chr14	+	24108387	24108565	24109002	24109062	24105575	24105981	24112360	24112428	2924	37,33	10,10	36,40	9,2	199	159	0.154428768716	0.644175314794	0.747,0.725	0.762,0.941	-0.115
4885	"ENSG00000196365.7"	"LONP1"	chr19	-	5708352	5708414	5711781	5712013	5707070	5707154	5713144	5713264	4885	279,422	8,2	178,233	0,11	199	161	0.154821111249	0.645165451581	0.966,0.994	1.0,0.945	0.008
200	"ENSG00000244687.7"	"UBE2V1"	chr20	-	48712639	48712807	48713019	48713071	48700665	48700791	48713208	48713357	200	30,27	0,0	28,23	1,3	151	199	0.156070356103	0.645741587975	1.0,1.0	0.974,0.91	0.058
3010	"ENSG00000188603.12"	"CLN3"	chr16	-	28498982	28499062	28499911	28499983	28498776	28498862	28500610	28500707	3010	38,42	17,22	24,26	13,29	171	179	0.155237104221	0.645741587975	0.701,0.666	0.659,0.484	0.112
3299	"ENSG00000069345.7"	"DNAJA2"	chr16	-	46998522	46998719	47001424	47001558	46993186	46993331	47001995	47002076	3299	375,402	233,191	347,500	174,205	199	199	0.156065354791	0.645741587975	0.617,0.678	0.666,0.709	-0.04
3649	"ENSG00000161010.10"	"C5orf45"	chr5	-	179278242	179278337	179280196	179280276	179274977	179275066	179280377	179280437	3649	54,17	9,4	22,30	1,2	179	194	0.156177071005	0.645741587975	0.867,0.822	0.96,0.942	-0.106
4103	"ENSG00000132591.7"	"ERAL1"	chr17	+	27185391	27185504	27185593	27185842	27185163	27185225	27185981	27186131	4103	99,75	169,233	116,91	208,149	199	199	0.155788098704	0.645741587975	0.369,0.244	0.358,0.379	-0.062
4872	"ENSG00000198088.6"	"NUP62CL"	chrX	-	106390972	106391039	106394085	106394197	106367377	106367562	106396401	106396536	4872	4,2	5,8	0,2	15,6	199	166	0.156200283231	0.645741587975	0.4,0.173	0.0,0.218	0.177
5251	"ENSG00000140807.4"	"NKD1"	chr16	+	50647012	50647126	50651663	50651716	50642204	50642271	50655512	50655619	5251	4,10	221,63	7,2	85,13	199	152	0.155716608131	0.645741587975	0.014,0.108	0.059,0.105	-0.021
920	"ENSG00000092020.6"	"PPP2R3C"	chr14	-	35579024	35579053	35579053	35579137	35577344	35577442	35579730	35579835	920	312,252	27,52	228,238	27,18	183	128	0.155902187191	0.645741587975	0.89,0.772	0.855,0.902	-0.048
2053	"ENSG00000180376.12"	"CCDC66"	chr3	+	56605208	56605330	56626997	56627129	56600977	56601081	56627518	56627769	2053	17,5	13,10	17,15	12,4	199	199	0.156716292316	0.646590609427	0.567,0.333	0.586,0.789	-0.238
639	"ENSG00000112715.16"	"VEGFA"	chr6	+	43748468	43748540	43749692	43749789	43746625	43746655	43752277	43752299	639	98,114	89,128	54,88	77,109	171	196	0.156604293227	0.646590609427	0.558,0.505	0.446,0.481	0.068
1457	"ENSG00000114127.6"	"XRN1"	chr3	-	142037631	142037745	142048275	142048479	142037433	142037536	142051216	142051266	1457	4,5	26,64	3,21	33,81	199	199	0.157275792868	0.64709105423	0.133,0.072	0.083,0.206	-0.042
1662	"ENSG00000126432.9"	"PRDX5"	chr11	+	64087205	64087340	64088132	64088264	64085559	64085858	64088336	64088375	1662	508,452	861,216	284,194	297,28	199	199	0.158547411798	0.64709105423	0.371,0.677	0.489,0.874	-0.157
2007	"ENSG00000120889.8"	"TNFRSF10B"	chr8	-	22885234	22885266	22885843	22885954	22884645	22884801	22886041	22886115	2007	115,94	396,417	81,20	313,173	199	131	0.157287085578	0.64709105423	0.16,0.129	0.146,0.071	0.036
2084	"ENSG00000205581.6"	"HMGN1"	chr21	-	40717755	40717884	40719372	40719404	40717071	40717200	40720217	40720265	2084	3,1	106,111	2,5	46,103	131	199	0.158009115967	0.64709105423	0.041,0.014	0.062,0.069	-0.038
2250	"ENSG00000164535.10"	"DAGLB"	chr7	-	6474424	6474651	6475992	6476164	6472467	6472590	6485583	6485735	2250	7,5	2,8	4,1	12,2	199	199	0.157501880614	0.64709105423	0.778,0.385	0.25,0.333	0.29
2499	"ENSG00000152767.11"	"FARP1"	chr13	+	99076825	99076904	99083296	99083534	99064154	99064288	99087829	99087960	2499	117,132	302,211	66,123	154,59	178	199	0.157473225086	0.64709105423	0.302,0.412	0.324,0.7	-0.155
3261	"ENSG00000054392.8"	"HHAT"	chr1	+	210522276	210522410	210536195	210536263	210502249	210502448	210560811	210560925	3261	6,4	6,11	2,2	11,11	199	167	0.157861591793	0.64709105423	0.456,0.234	0.132,0.132	0.213
3347	"ENSG00000163138.14"	"PACRGL"	chr4	+	20709425	20709493	20714410	20714545	20706282	20706437	20715054	20715162	3347	11,2	14,7	1,0	7,5	167	199	0.158521650608	0.64709105423	0.484,0.254	0.145,0.0	0.296
4486	"ENSG00000153933.5"	"DGKE"	chr17	+	54935954	54936026	54936063	54936217	54933872	54934026	54939151	54939279	4486	24,25	0,0	28,3	0,4	171	199	0.158335525588	0.64709105423	1.0,1.0	1.0,0.466	0.267
